ID|platform|device_users|part_device_users|device_actions|part_device_actions|browser_cnt|part_browser|answers_200|answers_ne200|answers_3XX|answers_4XX|answers_5XX
53|iOS 11.2.6|629|0.0|629|0.0|629|0.0|581.0|48.0|24.0|24.0|0.0
54|" like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36"""""""|1|0.0|1|0.0|1|0.0|1.0|0.0|0.0|0.0|0.0
55|iOS 12.1.1|1942|0.01|1942|0.01|1942|0.01|1588.0|354.0|354.0|0.0|0.0
56|Android 4.1.1|10|0.0|10|0.0|10|0.0|10.0|0.0|0.0|0.0|0.0
57|iOS 11.3|772|0.0|772|0.0|772|0.0|698.0|74.0|52.0|22.0|0.0
58|Android 8.1.0|33924|0.09|33924|0.09|33924|0.09|31556.0|2368.0|2352.0|16.0|0.0
59|Android 5.1|5951|0.02|5951|0.02|5951|0.02|5910.0|41.0|41.0|0.0|0.0
60|" like Gecko) Chrome/67.0.3396.87 Mobile Safari/537.36"""""""|1|0.0|1|0.0|1|0.0|1.0|0.0|0.0|0.0|0.0
61|Linux None|853582|2.28|853582|2.28|853582|2.28|852601.0|981.0|981.0|0.0|0.0
62|Windows XP|135053|0.36|135053|0.36|135053|0.36|1816.0|133237.0|133237.0|0.0|0.0
63|iOS 12.1|4885|0.01|4885|0.01|4885|0.01|4845.0|40.0|40.0|0.0|0.0
64|iOS 12.0|4|0.0|4|0.0|4|0.0|0.0|4.0|2.0|2.0|0.0
65|iOS 12.0.1|678|0.0|678|0.0|678|0.0|678.0|0.0|0.0|0.0|0.0
66|iOS 11.2.1|1|0.0|1|0.0|1|0.0|1.0|0.0|0.0|0.0|0.0
67|iOS 11.0.1|1|0.0|1|0.0|1|0.0|1.0|0.0|0.0|0.0|0.0
68|Android (23/6.0.1|2|0.0|2|0.0|2|0.0|2.0|0.0|0.0|0.0|0.0
69|iOS 10.2.1|676|0.0|676|0.0|676|0.0|624.0|52.0|0.0|52.0|0.0
70|Windows 7|3809959|10.17|3809959|10.17|3809959|10.17|3793850.0|16109.0|8486.0|7623.0|0.0
71|Android 7.1.2|161|0.0|161|0.0|161|0.0|161.0|0.0|0.0|0.0|0.0
72|Mac OS X 10.10|1|0.0|1|0.0|1|0.0|1.0|0.0|0.0|0.0|0.0
73|Android 5.1.1|1316060|3.51|1316060|3.51|1316060|3.51|1203465.0|112595.0|12979.0|99616.0|0.0
74|Android 4.4.2|24045|0.06|24045|0.06|24045|0.06|23355.0|690.0|312.0|378.0|0.0
75|Android 4.1.2|32132|0.09|32132|0.09|32132|0.09|28547.0|3585.0|534.0|3051.0|0.0
76|iOS 11.4|5|0.0|5|0.0|5|0.0|5.0|0.0|0.0|0.0|0.0
77|iOS 11.3.1|17|0.0|17|0.0|17|0.0|17.0|0.0|0.0|0.0|0.0
78|Windows NT 7.0|4|0.0|4|0.0|4|0.0|0.0|4.0|4.0|0.0|0.0
79|Android |4|0.0|4|0.0|4|0.0|4.0|0.0|0.0|0.0|0.0
80|Windows NT 4.0|4|0.0|4|0.0|4|0.0|4.0|0.0|0.0|0.0|0.0
